#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 0.03378012  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstau
300.00000000  0.20000000 0.01806188  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstau
300.00000000  0.30000000 0.01334323  0.00000  6.415355E-07  0.996352  2.774406E-05  1.971924E-03  0  0  0  2.154221E-04  0  0  0  0  0  0  0  lightstau
300.00000000  0.40000000 0.01137445  0.00000  2.025515E-06  0.995294  2.771952E-05  2.823279E-03  0  0  0  4.220369E-04  0  0  0  0  0  0  0  lightstau
300.00000000  0.50000000 0.01050558  0.00000  4.940962E-06  0.994401  2.770379E-05  3.432291E-03  0  0  0  7.040083E-04  0  0  0  0  0  0  0  lightstau
300.00000000  0.60000000 0.01018665  0.00000  1.023845E-05  0.993643  2.769814E-05  3.832438E-03  0  1.847221E-11  .001057  1.057678E-03  0  0  0  0  0  0  0  lightstau
300.00000000  0.70000000 0.01018195  0.00000  1.895334E-05  0.992805  2.769914E-05  4.242742E-03  0  2.863935E-10  .001477  1.477627E-03  0  0  0  0  0  0  0  lightstau
300.00000000  0.80000000 0.01037363  0.00000  3.230124E-05  0.991742  2.770576E-05  4.812585E-03  0  1.178620E-09  .001958  1.958310E-03  0  0  0  0  0  0  0  lightstau
300.00000000  0.90000000 0.01069623  0.00000  5.167302E-05  0.990386  2.771950E-05  5.614854E-03  0  2.911243E-09  .002494  2.494555E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.00000000 0.01111047  0.00000  7.862967E-05  0.988718  2.774370E-05  6.670827E-03  0  5.543165E-09  .003081  3.081524E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.10000000 0.01159136  0.00000  1.148976E-04  0.986753  2.778298E-05  7.968883E-03  0  8.986479E-09  .003714  3.714628E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.20000000 0.01212223  0.00000  1.623654E-04  0.984528  2.784303E-05  9.474165E-03  0  1.321221E-08  .004389  4.389520E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.30000000 0.01269155  0.00000  2.230799E-04  0.982088  2.793011E-05  1.114338E-02  0  1.815989E-08  .005102  5.102147E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.40000000 0.01329108  0.00000  2.992441E-04  0.979482  2.805097E-05  1.292900E-02  0  2.377555E-08  .005848  5.848832E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.50000000 0.01391478  0.00000  3.932150E-04  0.976757  2.821268E-05  1.478474E-02  0  3.001366E-08  .006626  6.626325E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.60000000 0.01455813  0.00000  5.074998E-04  0.973955  2.842251E-05  1.666909E-02  0  3.683671E-08  .007431  7.431812E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.70000000 0.01521765  0.00000  6.447525E-04  0.971111  2.868790E-05  1.854711E-02  0  4.421403E-08  .008262  8.262886E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.80000000 0.01589064  0.00000  8.077689E-04  0.968252  2.901640E-05  2.039091E-02  0  5.212032E-08  .009117  9.117504E-03  0  0  0  0  0  0  0  lightstau
300.00000000  1.90000000 0.01657499  0.00000  9.994800E-04  0.965397  2.941569E-05  2.217916E-02  0  6.053444E-08  .009993  9.993921E-03  0  0  0  0  0  0  0  lightstau
300.00000000  2.00000000 0.01726899  0.00000  1.222959E-03  0.962572  2.989393E-05  2.388507E-02  0  6.943905E-08  .010890  1.089076E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.10000000 0.01797126  0.00000  1.481334E-03  0.959748  3.045791E-05  2.553537E-02  0  7.881543E-08  .011806  1.180626E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.20000000 0.01868068  0.00000  1.777920E-03  0.956959  3.111655E-05  2.709535E-02  0  8.865072E-08  .012739  1.273952E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.30000000 0.01939631  0.00000  2.116091E-03  0.954202  3.187796E-05  2.856396E-02  0  9.893080E-08  .013689  1.368937E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.40000000 0.02011737  0.00000  2.499305E-03  0.951476  3.275043E-05  2.994043E-02  0  1.096420E-07  .014654  1.465472E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.50000000 0.02084322  0.00000  2.931085E-03  0.948778  3.374236E-05  3.122524E-02  0  1.207706E-07  .015634  1.563447E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.60000000 0.02157330  0.00000  3.415004E-03  0.946104  3.486222E-05  3.241992E-02  1.172610E-12  1.323025E-07  .016627  1.662754E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.70000000 0.02230714  0.00000  3.954663E-03  0.943449  3.611851E-05  3.352672E-02  1.202026E-11  1.442229E-07  .017632  1.763278E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.80000000 0.02304434  0.00000  4.553674E-03  0.940809  3.751972E-05  3.454839E-02  5.463107E-11  1.565163E-07  .018648  1.864899E-02  0  0  0  0  0  0  0  lightstau
300.00000000  2.90000000 0.02378455  0.00000  5.215636E-03  0.938177  3.907431E-05  3.548791E-02  1.656734E-10  1.691661E-07  .019674  1.967493E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.00000000 0.02452747  0.00000  5.944113E-03  0.935549  4.079060E-05  3.634840E-02  3.942760E-10  1.821547E-07  .020709  2.070928E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.10000000 0.02527285  0.00000  6.742607E-03  0.932918  4.267676E-05  3.713299E-02  7.985429E-10  1.954631E-07  .021750  2.175062E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.20000000 0.02602044  0.00000  7.614537E-03  0.930281  4.474075E-05  3.784475E-02  1.441764E-09  2.090712E-07  .022797  2.279747E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.30000000 0.02677004  0.00000  8.563207E-03  0.927632  4.699022E-05  3.848662E-02  2.388883E-09  2.229576E-07  .023848  2.384828E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.40000000 0.02752149  0.00000  9.591782E-03  0.924967  4.943251E-05  3.906142E-02  3.703491E-09  2.370993E-07  .024901  2.490139E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.50000000 0.02827462  0.00000  1.070326E-02  0.922282  5.207450E-05  3.957181E-02  5.445427E-09  2.514722E-07  .025955  2.595507E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.60000000 0.02902929  0.00000  1.190044E-02  0.919574  5.492263E-05  4.001994E-02  7.664822E-09  2.660509E-07  .027007  2.700755E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.70000000 0.02978538  0.00000  1.318591E-02  0.916839  5.798277E-05  4.040826E-02  1.040740E-08  2.808085E-07  .028056  2.805694E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.80000000 0.03054277  0.00000  1.456198E-02  0.914075  6.126014E-05  4.073950E-02  1.371943E-08  2.957169E-07  .029101  2.910131E-02  0  0  0  0  0  0  0  lightstau
300.00000000  3.90000000 0.03130137  0.00000  1.603069E-02  0.911280  6.475932E-05  4.101554E-02  1.763100E-08  3.107468E-07  .030138  3.013867E-02  0  0  0  0  0  0  0  lightstau
