#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 0.05428295  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.20000000 0.02899069  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.30000000 0.02138125  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.40000000 0.01819202  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.50000000 0.01677043  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.60000000 0.01623235  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.70000000 0.01619891  0.00000  1.899319E-05  0.994894  2.775743E-05  3.628300E-03  0  1.634499E-11  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.80000000 0.01648074  0.00000  3.239119E-05  0.994506  2.778300E-05  4.003357E-03  0  2.556506E-10  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  0.90000000 0.01697269  0.00000  5.185292E-05  0.993836  2.781616E-05  4.654422E-03  0  1.062084E-09  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.00000000 0.01761168  0.00000  7.896179E-05  0.992896  2.786114E-05  5.568084E-03  0  2.645155E-09  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.10000000 0.01835761  0.00000  1.154737E-04  0.991701  2.792270E-05  6.727471E-03  0  5.028287E-09  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.20000000 0.01918374  0.00000  1.633160E-04  0.990292  2.800670E-05  8.089660E-03  0  8.202181E-09  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.30000000 0.02007159  0.00000  2.245836E-04  0.988707  2.811935E-05  9.615387E-03  0  1.211812E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.40000000 0.02100793  0.00000  3.015380E-04  0.986987  2.826740E-05  1.125958E-02  0  1.672336E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.50000000 0.02198308  0.00000  3.966063E-04  0.985175  2.845797E-05  1.297793E-02  0  2.196985E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.60000000 0.02298979  0.00000  5.123786E-04  0.983307  2.869846E-05  1.473034E-02  0  2.781672E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.70000000 0.02402248  0.00000  6.516058E-04  0.981417  2.899650E-05  1.648279E-02  0  3.423020E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.80000000 0.02507684  0.00000  8.171954E-04  0.979526  2.935989E-05  1.820790E-02  0  4.118262E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  1.90000000 0.02614946  0.00000  1.012218E-03  0.977666  2.979694E-05  1.987361E-02  0  4.865172E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.00000000 0.02723760  0.00000  1.239839E-03  0.975811  3.031475E-05  2.150058E-02  0  5.661663E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.10000000 0.02833906  0.00000  1.503423E-03  0.973997  3.092251E-05  2.305031E-02  0  6.506224E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.20000000 0.02945202  0.00000  1.806432E-03  0.972223  3.162868E-05  2.451924E-02  0  7.397391E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.30000000 0.03057498  0.00000  2.152446E-03  0.970491  3.244197E-05  2.590405E-02  2.155236E-12  8.333839E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.40000000 0.03170670  0.00000  2.545148E-03  0.968796  3.337130E-05  2.720327E-02  2.024545E-11  9.314309E-08  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.50000000 0.03284613  0.00000  2.988308E-03  0.967136  3.442573E-05  2.841694E-02  8.894206E-11  1.033757E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.60000000 0.03399238  0.00000  3.485766E-03  0.965506  3.561445E-05  2.954625E-02  2.654156E-10  1.140237E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.70000000 0.03514471  0.00000  4.041416E-03  0.963899  3.694676E-05  3.059314E-02  6.263999E-10  1.250744E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.80000000 0.03630245  0.00000  4.659183E-03  0.962309  3.843198E-05  3.156007E-02  1.263023E-09  1.365141E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  2.90000000 0.03746505  0.00000  5.343002E-03  0.960729  4.007944E-05  3.244979E-02  2.275004E-09  1.483286E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  3.00000000 0.03863202  0.00000  6.096796E-03  0.959153  4.189845E-05  3.326519E-02  3.765143E-09  1.605025E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  3.10000000 0.03980295  0.00000  6.924445E-03  0.957574  4.389816E-05  3.400918E-02  5.834561E-09  1.730193E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  3.20000000 0.04097746  0.00000  7.829768E-03  0.955984  4.608758E-05  3.468466E-02  8.578888E-09  1.858613E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  3.30000000 0.04215523  0.00000  8.816485E-03  0.954378  4.847546E-05  3.529439E-02  1.208538E-08  1.990095E-07  0  0  0  0  0  0  0  0  0  lightstop-new
300.00000000  3.40000000 0.04333597  0.00000  9.888195E-03  0.952750  5.107025E-05  3.584102E-02  1.643089E-08  2.124435E-07  0  0  0  0  0  0  0  0  0  lightstop-new
