#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 0.05111315  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.20000000 0.02722572  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.30000000 0.02000470  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.40000000 0.01694991  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.50000000 0.01556130  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.60000000 0.01500556  0.00000  1.025492E-05  0.995242  2.774271E-05  3.288825E-03  0  1.067861E-13  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.70000000 0.01492559  0.00000  1.899633E-05  0.995058  2.776204E-05  3.463776E-03  0  5.326186E-11  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.80000000 0.01514288  0.00000  3.239524E-05  0.994629  2.778650E-05  3.879420E-03  0  4.579998E-10  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  0.90000000 0.01555829  0.00000  5.185853E-05  0.993943  2.781922E-05  4.547180E-03  0  1.542624E-09  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.00000000 0.01611236  0.00000  7.896977E-05  0.992996  2.786405E-05  5.467941E-03  0  3.464541E-09  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.10000000 0.01676727  0.00000  1.154857E-04  0.991804  2.792575E-05  6.624426E-03  0  6.204469E-09  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.20000000 0.01749782  0.00000  1.633334E-04  0.990397  2.800990E-05  7.984367E-03  0  9.740916E-09  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.30000000 0.01828655  0.00000  2.246080E-04  0.988814  2.812275E-05  9.507447E-03  0  1.401886E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.40000000 0.01912101  0.00000  3.015715E-04  0.987097  2.827103E-05  1.114896E-02  0  1.898417E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.50000000 0.01999206  0.00000  3.966510E-04  0.985287  2.846187E-05  1.286485E-02  0  2.458950E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.60000000 0.02089285  0.00000  5.124370E-04  0.983422  2.870268E-05  1.461521E-02  0  3.079537E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.70000000 0.02181814  0.00000  6.516803E-04  0.981533  2.900109E-05  1.636610E-02  0  3.756955E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.80000000 0.02276385  0.00000  8.172882E-04  0.979644  2.936491E-05  1.809018E-02  0  4.488576E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  1.90000000 0.02372677  0.00000  1.012331E-03  0.977784  2.980250E-05  1.975487E-02  0  5.272304E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  2.00000000 0.02470432  0.00000  1.239974E-03  0.975929  3.032090E-05  2.138204E-02  0  6.106125E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  2.10000000 0.02569441  0.00000  1.503580E-03  0.974114  3.092937E-05  2.293224E-02  0  6.988619E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  2.20000000 0.02669533  0.00000  1.806610E-03  0.972340  3.163636E-05  2.440204E-02  0  7.918379E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  2.30000000 0.02770568  0.00000  2.152644E-03  0.970606  3.245062E-05  2.578810E-02  0  8.894114E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  2.40000000 0.02872428  0.00000  2.545359E-03  0.968910  3.338107E-05  2.708893E-02  5.391022E-12  9.914590E-08  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  2.50000000 0.02975015  0.00000  2.988525E-03  0.967248  3.443678E-05  2.830451E-02  3.482737E-11  1.097858E-07  0  0  0  0  0  0  0  0  0  lightstop
300.00000000  2.60000000 0.03078243  0.00000  3.485976E-03  0.965615  3.562697E-05  2.943599E-02  1.277280E-10  1.208485E-07  0  0  0  0  0  0  0  0  0  lightstop
