#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 0.07572946  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lowMH
300.00000000  0.20000000 0.04043189  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lowMH
300.00000000  0.30000000 0.02980685  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lowMH
300.00000000  0.40000000 0.02534980  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lowMH
300.00000000  0.50000000 0.02335985  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  lowMH
300.00000000  0.60000000 0.02260335  0.00000  1.023229E-05  0.993048  2.768127E-05  8.831402E-04  4.566239E-03  0  0  3.656825E-05  0  0  0  0  0  0  0  lowMH
300.00000000  0.70000000 0.02255163  0.00000  1.903965E-05  0.997329  2.782481E-05  1.131143E-03  7.325164E-06  0  0  5.090177E-05  0  0  0  0  0  0  0  lowMH
300.00000000  0.80000000 0.02294036  0.00000  3.247041E-05  0.996940  2.784994E-05  1.498143E-03  3.802851E-07  0  0  6.718037E-05  0  0  0  0  0  0  0  lowMH
300.00000000  0.90000000 0.02362271  0.00000  5.198759E-05  0.996419  2.788659E-05  1.982100E-03  3.450592E-08  1.402579E-11  0  8.544975E-05  0  0  0  0  0  0  0  lowMH
300.00000000  1.00000000 0.02451058  0.00000  7.918893E-05  0.995754  2.793822E-05  2.600266E-03  4.956857E-09  1.550510E-10  0  1.055946E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.10000000 0.02554793  0.00000  1.158510E-04  0.994943  2.800900E-05  3.353215E-03  1.193264E-09  5.958762E-10  0  1.275070E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.20000000 0.02669737  0.00000  1.639275E-04  0.994000  2.810397E-05  4.224496E-03  5.029892E-10  1.467229E-09  0  1.510886E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.30000000 0.02793306  0.00000  2.255478E-04  0.992950  2.822878E-05  5.188341E-03  3.603004E-10  2.835857E-09  0  1.762509E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.40000000 0.02923650  0.00000  3.030136E-04  0.991813  2.838941E-05  6.221919E-03  4.319219E-10  4.722790E-09  0  2.029145E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.50000000 0.03059416  0.00000  3.987967E-04  0.990609  2.859218E-05  7.302436E-03  7.675413E-10  7.123106E-09  0  2.310099E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.60000000 0.03199586  0.00000  5.155514E-04  0.989385  2.884457E-05  8.380229E-03  1.386362E-09  1.001971E-08  0  2.604838E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.70000000 0.03343385  0.00000  6.561003E-04  0.988168  2.915385E-05  9.425353E-03  2.379999E-09  1.339095E-08  0  2.912893E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.80000000 0.03490207  0.00000  8.234283E-04  0.986972  2.952723E-05  1.042225E-02  3.965547E-09  1.721454E-08  0  3.233841E-04  0  0  0  0  0  0  0  lowMH
300.00000000  1.90000000 0.03639576  0.00000  1.020682E-03  0.985805  2.997220E-05  1.135723E-02  6.388800E-09  2.146954E-08  0  3.567315E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.00000000 0.03791109  0.00000  1.251207E-03  0.984709  3.049751E-05  1.218688E-02  9.930329E-09  2.613783E-08  0  3.913116E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.10000000 0.03944498  0.00000  1.518323E-03  0.983585  3.110789E-05  1.300653E-02  1.489282E-08  3.119978E-08  0  4.270530E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.20000000 0.04099490  0.00000  1.825722E-03  0.982520  3.181416E-05  1.372405E-02  2.159005E-08  3.664247E-08  0  4.639594E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.30000000 0.04255875  0.00000  2.177091E-03  0.981493  3.262392E-05  1.435879E-02  3.032983E-08  4.245183E-08  0  5.019917E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.40000000 0.04413480  0.00000  2.576250E-03  0.980497  3.354552E-05  1.491303E-02  4.140247E-08  4.860569E-08  0  5.411168E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.50000000 0.04572158  0.00000  3.027121E-03  0.979526  3.458747E-05  1.538928E-02  5.507042E-08  5.511236E-08  0  5.812998E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.60000000 0.04731786  0.00000  3.533704E-03  0.978572  3.575836E-05  1.579067E-02  7.156082E-08  6.194895E-08  0  6.225028E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.70000000 0.04892258  0.00000  4.100063E-03  0.977628  3.706689E-05  1.612081E-02  9.106092E-08  6.910544E-08  0  6.646848E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.80000000 0.05053484  0.00000  4.730303E-03  0.976685  3.852174E-05  1.638360E-02  1.137159E-07  7.657106E-08  0  7.078010E-04  0  0  0  0  0  0  0  lowMH
300.00000000  2.90000000 0.05215385  0.00000  5.428548E-03  0.975737  4.013159E-05  1.658311E-02  1.396283E-07  8.433475E-08  0  7.518026E-04  0  0  0  0  0  0  0  lowMH
300.00000000  3.00000000 0.05377895  0.00000  6.198917E-03  0.974773  4.190503E-05  1.672342E-02  1.688595E-07  9.238502E-08  0  7.966361E-04  0  0  0  0  0  0  0  lowMH
300.00000000  3.10000000 0.05540954  0.00000  7.045497E-03  0.973788  4.385049E-05  1.680857E-02  2.014319E-07  1.007099E-07  0  8.422436E-04  0  0  0  0  0  0  0  lowMH
300.00000000  3.20000000 0.05704511  0.00000  7.972315E-03  0.972771  4.597622E-05  1.684247E-02  2.373313E-07  1.092967E-07  0  8.885626E-04  0  0  0  0  0  0  0  lowMH
