#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 0.02138544  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  mhmaxup
300.00000000  0.20000000 0.01125122  0.00000  1.267660E-07  0.996725  2.775213E-05  7.309831E-04  0  0  0  9.726168E-04  1.100538E-04  0  0  0  0  0  0  mhmaxup
300.00000000  0.30000000 0.00812152  0.00000  6.401907E-07  0.994263  2.768590E-05  1.690380E-03  0  0  .002219  2.219146E-03  3.697041E-04  0  0  0  0  0  0  mhmaxup
300.00000000  0.40000000 0.00674308  0.00000  2.017039E-06  0.991128  2.760353E-05  2.654340E-03  0  0  .003918  3.918031E-03  8.444424E-04  0  0  0  0  0  0  mhmaxup
300.00000000  0.50000000 0.00606525  0.00000  4.907464E-06  0.987659  2.751599E-05  3.321867E-03  0  1.490053E-12  .007566  6.019194E-03  1.547580E-03  0  0  0  0  0  0  mhmaxup
300.00000000  0.60000000 0.00573782  0.00000  1.013723E-05  0.983819  2.742437E-05  3.767166E-03  0  9.462570E-11  .010960  8.498765E-03  2.462617E-03  0  0  0  0  0  0  mhmaxup
300.00000000  0.70000000 0.00561066  0.00000  1.869800E-05  0.979429  2.732609E-05  4.200250E-03  0  5.888404E-10  .014916  1.135809E-02  3.558283E-03  0  0  0  0  0  0  mhmaxup
300.00000000  0.80000000 0.00560871  0.00000  3.173522E-05  0.974362  2.722049E-05  4.764072E-03  0  1.768048E-09  .019412  1.461331E-02  4.799404E-03  0  0  0  0  0  0  mhmaxup
300.00000000  0.90000000 0.00569024  0.00000  5.053456E-05  0.968565  2.710919E-05  5.528331E-03  0  3.762490E-09  .024434  1.828376E-02  6.151925E-03  0  0  0  0  0  0  mhmaxup
300.00000000  1.00000000 0.00583021  0.00000  7.650751E-05  0.962032  2.699559E-05  6.511274E-03  0  6.595534E-09  .029967  2.238384E-02  7.584517E-03  0  0  0  0  0  0  mhmaxup
300.00000000  1.10000000 0.00601269  0.00000  1.111772E-04  0.954801  2.688444E-05  7.698127E-03  0  1.016451E-08  .035987  2.691911E-02  9.068991E-03  0  0  0  0  0  0  mhmaxup
