#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 -0.01992880  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  mhmodm
300.00000000  0.20000000 -0.01001070  0.00000  1.267474E-07  0.996579  2.774806E-05  8.781912E-04  0  0  0  9.724742E-04  1.100376E-04  0  0  0  0  0  0  mhmodm
300.00000000  0.30000000 -0.00672512  0.00000  6.403118E-07  0.994450  2.769114E-05  1.502498E-03  0  0  .002219  2.219566E-03  3.697740E-04  0  0  0  0  0  0  mhmodm
300.00000000  0.40000000 -0.00509757  0.00000  2.018018E-06  0.991608  2.761692E-05  2.171844E-03  0  0  .003919  3.919931E-03  8.448520E-04  0  0  0  0  0  0  mhmodm
300.00000000  0.50000000 -0.00413314  0.00000  4.910918E-06  0.988352  2.753536E-05  2.622067E-03  0  1.558658E-11  .007571  6.023430E-03  1.548669E-03  0  0  0  0  0  0  mhmodm
300.00000000  0.60000000 -0.00350021  0.00000  1.014572E-05  0.984641  2.744733E-05  2.935205E-03  0  2.494232E-10  .010969  8.505878E-03  2.464678E-03  0  0  0  0  0  0  mhmodm
300.00000000  0.70000000 -0.00305666  0.00000  1.871523E-05  0.980329  2.735128E-05  3.284351E-03  0  1.053090E-09  .014929  1.136856E-02  3.561564E-03  0  0  0  0  0  0  mhmodm
300.00000000  0.80000000 -0.00273146  0.00000  3.176661E-05  0.975324  2.724742E-05  3.781836E-03  0  2.647532E-09  .019431  1.462776E-02  4.804152E-03  0  0  0  0  0  0  mhmodm
300.00000000  0.90000000 -0.00248513  0.00000  5.058782E-05  0.969583  2.713776E-05  4.482483E-03  0  5.103445E-09  .024461  1.830302E-02  6.158409E-03  0  0  0  0  0  0  mhmodm
300.00000000  1.00000000 -0.00229402  0.00000  7.659316E-05  0.963107  2.702582E-05  5.401034E-03  0  8.411629E-09  .030001  2.240890E-02  7.593008E-03  0  0  0  0  0  0  mhmodm
300.00000000  1.10000000 -0.00214306  0.00000  1.113089E-04  0.955930  2.691629E-05  6.524343E-03  0  1.244110E-08  .036029  2.695099E-02  9.079731E-03  0  0  0  0  0  0  mhmodm
