#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 0.01585474  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  mhmodp
300.00000000  0.20000000 0.00840592  0.00000  1.267902E-07  0.996916  2.775743E-05  5.401830E-04  0  0  0  9.728026E-04  1.100748E-04  0  0  0  0  0  0  mhmodp
300.00000000  0.30000000 0.00613581  0.00000  6.403648E-07  0.994533  2.769343E-05  1.419011E-03  0  0  .002219  2.219750E-03  3.698046E-04  0  0  0  0  0  0  mhmodp
300.00000000  0.40000000 0.00516051  0.00000  2.017954E-06  0.991578  2.761605E-05  2.202164E-03  0  0  .003919  3.919808E-03  8.448254E-04  0  0  0  0  0  0  mhmodp
300.00000000  0.50000000 0.00470324  0.00000  4.910570E-06  0.988283  2.753341E-05  2.691392E-03  0  7.616063E-12  .007571  6.023003E-03  1.548559E-03  0  0  0  0  0  0  mhmodp
300.00000000  0.60000000 0.00450505  0.00000  1.014492E-05  0.984564  2.744515E-05  3.012637E-03  0  1.967093E-10  .010969  8.505204E-03  2.464483E-03  0  0  0  0  0  0  mhmodp
300.00000000  0.70000000 0.00445497  0.00000  1.871364E-05  0.980248  2.734896E-05  3.367222E-03  0  9.554944E-10  .014928  1.136760E-02  3.561261E-03  0  0  0  0  0  0  mhmodp
300.00000000  0.80000000 0.00449748  0.00000  3.176349E-05  0.975230  2.724474E-05  3.877827E-03  0  2.553993E-09  .019429  1.462632E-02  4.803679E-03  0  0  0  0  0  0  mhmodp
300.00000000  0.90000000 0.00460173  0.00000  5.058166E-05  0.969467  2.713446E-05  4.601754E-03  0  5.083150E-09  .024457  1.830080E-02  6.157659E-03  0  0  0  0  0  0  mhmodp
300.00000000  1.00000000 0.00474921  0.00000  7.658126E-05  0.962959  2.702161E-05  5.553923E-03  0  8.535305E-09  .029996  2.240542E-02  7.591828E-03  0  0  0  0  0  0  mhmodp
300.00000000  1.10000000 0.00492813  0.00000  1.112868E-04  0.955742  2.691095E-05  6.720154E-03  0  1.277261E-08  .036022  2.694565E-02  9.077931E-03  0  0  0  0  0  0  mhmodp
300.00000000  1.20000000 0.00513063  0.00000  1.563212E-04  0.947878  2.680821E-05  8.064854E-03  0  1.777188E-08  .042508  3.191745E-02  1.059107E-02  0  0  0  0  0  0  mhmodp
300.00000000  1.30000000 0.00535126  0.00000  2.133930E-04  0.939443  2.671973E-05  9.544117E-03  0  2.346620E-08  .049417  3.730836E-02  1.210985E-02  0  0  0  0  0  0  mhmodp
300.00000000  1.40000000 0.00558613  0.00000  2.842848E-04  0.930520  2.665219E-05  1.111016E-02  0  2.979438E-08  .056715  4.309947E-02  1.361651E-02  0  0  0  0  0  0  mhmodp
300.00000000  1.50000000 0.00583239  0.00000  3.708432E-04  0.921191  2.661241E-05  1.271686E-02  0  3.670113E-08  .064363  4.926744E-02  1.509675E-02  0  0  0  0  0  0  mhmodp
300.00000000  1.60000000 0.00608791  0.00000  4.749671E-04  0.911532  2.660719E-05  1.432336E-02  0  4.413666E-08  .072325  5.578610E-02  1.653954E-02  0  0  0  0  0  0  mhmodp
