#mhp  tb  deltab brt-bHp  brHp-taunu  brHp-tb  brHp-cs  brHp-hW  brHp-HW  brHp-AW  brHp-nc  brHp-n1c1  brHp-n2c1  brHp-n3c1  brHp-n4c1  brHp-n1c2  brHp-n2c2  brHp-n3c2  brHp-n4c2  scen
300.00000000  0.10000000 0.03958900  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  tauphobic
300.00000000  0.20000000 0.02076614  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  tauphobic
300.00000000  0.30000000 0.01492371  0.00000  6.400327E-07  0.994018  2.767907E-05  4.309683E-03  0  0  0  2.149175E-04  0  0  0  0  0  0  0  tauphobic
300.00000000  0.40000000 0.01232640  0.00000  2.024527E-06  0.994809  2.770600E-05  3.309532E-03  0  0  0  4.218311E-04  0  0  0  0  0  0  0  tauphobic
300.00000000  0.50000000 0.01102716  0.00000  4.940340E-06  0.994276  2.770031E-05  3.557776E-03  0  0  0  7.039196E-04  0  0  0  0  0  0  0  tauphobic
300.00000000  0.60000000 0.01037697  0.00000  1.023906E-05  0.993703  2.769980E-05  3.772717E-03  0  2.242521E-13  .001057  1.057741E-03  0  0  0  0  0  0  0  tauphobic
300.00000000  0.70000000 0.01009766  0.00000  1.895731E-05  0.993013  2.770496E-05  4.034011E-03  0  3.924970E-11  .001477  1.477936E-03  0  0  0  0  0  0  0  tauphobic
300.00000000  0.80000000 0.01005016  0.00000  3.231317E-05  0.992108  2.771601E-05  4.445259E-03  0  3.099674E-10  .001959  1.959033E-03  0  0  0  0  0  0  0  tauphobic
300.00000000  0.90000000 0.01015720  0.00000  5.170184E-05  0.990938  2.773499E-05  5.060440E-03  0  1.047146E-09  .002495  2.495946E-03  0  0  0  0  0  0  0  tauphobic
300.00000000  1.00000000 0.01037243  0.00000  7.869128E-05  0.989493  2.776548E-05  5.892714E-03  0  2.399162E-09  .003083  3.083939E-03  0  0  0  0  0  0  0  tauphobic
300.00000000  1.10000000 0.01066633  0.00000  1.150182E-04  0.987788  2.781220E-05  6.928521E-03  0  4.389128E-09  .003718  3.718524E-03  0  0  0  0  0  0  0  tauphobic
